domain,condition,model_seed,arm,evaluation_version,horizon,first_failures,failure_probability,survival_probability,failure_upper_bound,survival_lower_bound,family_size
toy,c31_moving_plane,,UNIFORM_8,v1-unchanged-finite-nonstochastic,128,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,c31_moving_plane,,UNIFORM_8,v1-unchanged-finite-nonstochastic,256,1,0.001953125,0.998046875,0.023879245256461512,0.9761207547435384,875
toy,c31_moving_plane,,UNIFORM_8,v1-unchanged-finite-nonstochastic,512,8,0.015625,0.984375,0.04876990032117241,0.9512300996788275,875
toy,c31_moving_plane,,UNIFORM_8,v1-unchanged-finite-nonstochastic,1024,84,0.1640625,0.8359375,0.23467067258652557,0.7653293274134745,875
toy,c31_moving_plane,,UNIFORM_8,v1-unchanged-finite-nonstochastic,2048,211,0.412109375,0.587890625,0.49812715208404357,0.5018728479159564,875
toy,c31_moving_plane,,UNIFORM_9,v1-unchanged-finite-nonstochastic,32,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,c31_moving_plane,,UNIFORM_9,v1-unchanged-finite-nonstochastic,64,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,c31_moving_plane,,UNIFORM_9,v1-unchanged-finite-nonstochastic,128,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,c31_moving_plane,,UNIFORM_9,v1-unchanged-finite-nonstochastic,256,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,c31_moving_plane,,UNIFORM_9,v1-unchanged-finite-nonstochastic,512,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,c31_moving_plane,,UNIFORM_9,v1-unchanged-finite-nonstochastic,1024,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,c31_moving_plane,,UNIFORM_9,v1-unchanged-finite-nonstochastic,2048,6,0.01171875,0.98828125,0.04239200348067983,0.9576079965193202,875
toy,c31_moving_plane,,UNIFORM_10,v1-unchanged-finite-nonstochastic,32,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,c31_moving_plane,,UNIFORM_10,v1-unchanged-finite-nonstochastic,64,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,c31_moving_plane,,UNIFORM_10,v1-unchanged-finite-nonstochastic,128,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,c31_moving_plane,,UNIFORM_10,v1-unchanged-finite-nonstochastic,256,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,c31_moving_plane,,UNIFORM_10,v1-unchanged-finite-nonstochastic,512,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,c31_moving_plane,,UNIFORM_10,v1-unchanged-finite-nonstochastic,1024,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,c31_moving_plane,,UNIFORM_10,v1-unchanged-finite-nonstochastic,2048,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,c31_moving_plane,,UNIFORM_11,v1-unchanged-finite-nonstochastic,32,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,c31_moving_plane,,UNIFORM_11,v1-unchanged-finite-nonstochastic,64,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,c31_moving_plane,,UNIFORM_11,v1-unchanged-finite-nonstochastic,128,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,c31_moving_plane,,UNIFORM_11,v1-unchanged-finite-nonstochastic,256,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,c31_moving_plane,,UNIFORM_11,v1-unchanged-finite-nonstochastic,512,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
